text,label
"I love the part where Killer confronts him. ""You regret the decision you made back then, Don't you? Because you feared dying in this future... but here we are, still standing!"" Basil was a coward who gave up his pride and worked for Kaido out of fear of death, and he RESENTS Kid and Killer because they didn't take the same deal, and managed to escape with their lives anyway. I love the way it ties into his powers: he reads his future to avoid any possible risk, and makes other people die in his place, or uses hostages as leverage over people he cant beat. Cowardice is his MO, and he's sooo smug about having Kid's strawman doll, until Killer just slices his arm right off. So Good.",high_effort
"No way. I have serious respect for him. Firstly far too many of the supernova have ended up as allies, of the two that haven’t he is by far the more interesting and better written character. I have so much respect for him accepting his lot and not changing sides away from Kaido even when it was clear tides were turning. He realized the mistake he made previously and the regrets that he carried, and decided not to make them again knowing he was destined to die. On top of that he does in fact have one of the absolute coolest Devil Fruits in the series.",high_effort
Well... there is still Apoo.,low_effort
Apoo being annoying is sort of his thing. Hawkins is written as a serious character with powers ‘to be feared’ but he’s just a slimy shit head and half his powers make no fkn sense anyway,mid_effort
"Apoo, betray everyone, act like a true pirate, Luffy and Zoro run away from him at first, survived several deadly attacks from Zoro/Drake/Cp0 like nothing ...
And then chill with the good guys at the end ? a true boss",mid_effort
I do think it's neat how he has abilities not strictly related to his DF. I remember finding it cool that his crew was a bunch of hooded fortune tellers but then of course they got forgotten.,mid_effort
"See, I fully disagree with anything Sabaody related you said. He was my favourite supernova coming out of that arc. He has a very unique and interesting fruit and I liked that fortune teller ability.
That said he became a huge let down in Wano basically doing nothing and then just surrendering to his fate. It could have made for an interesting story beat of is fate written in stone or can it be overcome? And then its just … he knew he had 1% chance of survival if he stuck with Kaido. He could have switched sides, he could have beaten the odds, but nope, he stuck with just having 1% and then got beaten by Killer. Is he dead? Considering its not confirmed probably not but still. He was a huge let down in Wano.",high_effort
He is a pirate,low_effort
"In some ways, he's kinda like Bellamy. Both eventually realized they put their money on the wrong horse, but refused to do a 180 due to principle. (Of course Hawkins had already done it once and just thought it would be completely undignified to do it again, but still)",high_effort
"He's a character who kept his head down to survive. Sure, in a story where forging your own path like one piece this is looked down upon. But sometimes thats the best thing anyone who knows their limitations can do. He kept his head down, made the gamble to survive by going with the flow, and he lost. We've all known people like that.",high_effort
"Out of all the heaviness packed into the chapter this is the panel that hit me. The expression is just so raw
What also hit was the simple response of Brook's ""Understood, Majesty"". Absolutely no-nonsense.
The flashback got intense extremely fast.",mid_effort
This panel hits real hard when you contrast it with the fact that Brook sings and smiles throughout almost every tragedy in this flashback,mid_effort
"i also love Brook's response. he didnt even need to hear Reuven's reasoning of why. Bro says war, we go to war, no matter with who",mid_effort
Brook told us this chapter already that he has an idea what's going on. And he knows the prince is a good King(forgot the name),mid_effort
The trauma just won't stop ,low_effort
His entire world ended there.,low_effort
"I also want to add, this showcases Brook's sheer emotional resilience. He suffered immense tragedy after immense tragedy, and somehow bounced back every time. From the loss of his parents and the horrific poverty he lived, to the loss of Candelle and deaths of thousands of his fellow countrymen, to the shock and horror of his treasured apprentice/surrogate sister apparently murdering his beloved friend/father figure, the destruction of his country, the subsequent loss of his second found family through immense physical suffering, his literal death, his insanity-inducing trial of drifting alone among the corpses of his friends for 40 years, losing his shadow and then being shunted away across the world from his third found family...
Like, Jesus Christ, this man has suffered. And he still sings and dances and cheers others up with his music, and holds fast to his compassion. Damn.",high_effort
"He suffered immense tragedy after immense tragedy
I just want to point out the ending of Thriller Bark, just after the flashback and before he ""introduces"" himself and ask to be a strawhat, he do screams that he is ""Glad to be alive"" while crying
The man deserves some happiness.",mid_effort
"Small correction, but Brook was alone on his ship for 50 years",low_effort
I feel so bad for Brook. Oda shows us Boa and Shuri cooking this chapter for the man they love. What could’ve been…,mid_effort
"Dude, same. Brook is just such a rider or die. Oda consistently displays his sense of loyalty. It’s probably my favorite quality of his.
But yea that panel is chilling. 😮‍💨",mid_effort
